Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,0.281233,0.289559,0.270375,0.272125,0.272125,1748987269
2021-08-31,0.271878,0.285819,0.270047,0.278453,0.278453,1745967018
2021-09-01,0.278062,0.294889,0.273526,0.294401,0.294401,1937809622
2021-09-02,0.294393,0.309227,0.292010,0.295955,0.295955,2981069411
2021-09-03,0.294754,0.304494,0.288541,0.296273,0.296273,2384046931
2021-09-04,0.296068,0.308731,0.293342,0.299388,0.299388,2263193245
2021-09-05,0.299324,0.315009,0.296582,0.314527,0.314527,2393033527
2021-09-06,0.314315,0.319751,0.300451,0.308765,0.308765,2611846129
2021-09-07,0.308951,0.311030,0.216527,0.253744,0.253744,5653327525
2021-09-08,0.254266,0.263290,0.234864,0.257113,0.257113,3226346052
2021-09-09,0.250362,0.259558,0.249270,0.252596,0.252596,1763183557
2021-09-10,0.252585,0.261622,0.235909,0.239982,0.239982,1840815800
2021-09-11,0.239826,0.248018,0.238487,0.241432,0.241432,1196337689
2021-09-12,0.241329,0.254794,0.239233,0.250617,0.250617,1419288866
2021-09-13,0.250624,0.252031,0.228911,0.235906,0.235906,1759116002
2021-09-14,0.236063,0.241678,0.233962,0.240709,0.240709,967948743
2021-09-15,0.240590,0.248322,0.239215,0.247697,0.247697,980188820
2021-09-16,0.247542,0.247733,0.233852,0.242555,0.242555,1140048496
2021-09-17,0.242098,0.259535,0.238026,0.239930,0.239930,2246768047
2021-09-18,0.239928,0.247328,0.238228,0.241386,0.241386,999151515
2021-09-19,0.241281,0.241285,0.231337,0.233142,0.233142,892763953
2021-09-20,0.233161,0.233606,0.200022,0.207071,0.207071,2244003542
2021-09-21,0.208773,0.218094,0.198161,0.201027,0.201027,1766963639
2021-09-22,0.200822,0.229423,0.200224,0.224858,0.224858,2016471206
2021-09-23,0.224748,0.227095,0.218115,0.224832,0.224832,1169581249
2021-09-24,0.224726,0.228267,0.197720,0.209451,0.209451,1883155313
2021-09-25,0.209348,0.212604,0.204875,0.208640,0.208640,1067132277
2021-09-26,0.208730,0.209068,0.194489,0.204962,0.204962,1147321467
2021-09-27,0.205241,0.209281,0.200078,0.200262,0.200262,838297166
2021-09-28,0.200001,0.202579,0.196352,0.196804,0.196804,866301240
2021-09-29,0.196980,0.204144,0.195042,0.198876,0.198876,926737135
2021-09-30,0.198869,0.205806,0.197855,0.204244,0.204244,916819792
2021-10-01,0.204427,0.224607,0.201994,0.223010,0.223010,1435469263
2021-10-02,0.222741,0.224955,0.215493,0.219133,0.219133,1166058975
2021-10-03,0.218811,0.226228,0.215872,0.221748,0.221748,1070267896
2021-10-04,0.221930,0.247924,0.213284,0.240852,0.240852,3684051106
2021-10-05,0.241240,0.267787,0.233588,0.252016,0.252016,4628329381
2021-10-06,0.252008,0.271509,0.243096,0.255134,0.255134,4659725421
2021-10-07,0.254340,0.256739,0.239127,0.242923,0.242923,2936116763
2021-10-08,0.243023,0.254764,0.241692,0.243851,0.243851,1952117191
2021-10-09,0.243495,0.251966,0.241757,0.246596,0.246596,1484990033
2021-10-10,0.246572,0.248663,0.227858,0.229805,0.229805,1466060853
2021-10-11,0.229450,0.239381,0.225521,0.231503,0.231503,1463611233
2021-10-12,0.231525,0.231718,0.216447,0.226242,0.226242,1881102059
2021-10-13,0.226175,0.233943,0.221061,0.232572,0.232572,1457486924
2021-10-14,0.232561,0.239880,0.231497,0.232273,0.232273,1337117776
2021-10-15,0.232644,0.243469,0.225750,0.233782,0.233782,1837803539
2021-10-16,0.233881,0.244447,0.233683,0.237292,0.237292,1541850812
2021-10-17,0.237193,0.241973,0.226380,0.237898,0.237898,1397143121
2021-10-18,0.237806,0.271394,0.237488,0.247281,0.247281,5003365533
2021-10-19,0.247378,0.254611,0.240651,0.245788,0.245788,1675967829
2021-10-20,0.245502,0.261555,0.242384,0.254093,0.254093,1853058770
2021-10-21,0.254793,0.258261,0.242273,0.242391,0.242391,1742570934
2021-10-22,0.242479,0.252772,0.236472,0.244221,0.244221,1829875043
2021-10-23,0.244514,0.253140,0.241589,0.251733,0.251733,1502684867
2021-10-24,0.251432,0.281935,0.246028,0.277048,0.277048,5278760541
2021-10-25,0.275745,0.279472,0.260220,0.264707,0.264707,3364560707
2021-10-26,0.264783,0.274317,0.253721,0.255732,0.255732,2513384162
2021-10-27,0.255836,0.263317,0.220328,0.237690,0.237690,5022822846
2021-10-28,0.237381,0.338843,0.233334,0.300447,0.300447,20359592492
2021-10-29,0.299964,0.306312,0.279771,0.287853,0.287853,5866664030
2021-10-30,0.287764,0.294647,0.259888,0.268345,0.268345,3637334331
2021-10-31,0.269239,0.284707,0.252614,0.280244,0.280244,4224104205
2021-11-01,0.280123,0.285551,0.264089,0.271728,0.271728,2784956027
2021-11-02,0.271892,0.280686,0.267597,0.273121,0.273121,2336414476
2021-11-03,0.273504,0.277104,0.263979,0.269407,0.269407,2091380862
2021-11-04,0.269112,0.270865,0.254711,0.263280,0.263280,1902957818
2021-11-05,0.263655,0.270789,0.257888,0.261465,0.261465,1559898586
2021-11-06,0.261264,0.267697,0.250521,0.261898,0.261898,1353526462
2021-11-07,0.261971,0.269849,0.258967,0.266315,0.266315,1155873526
