Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,3227.192627,3346.581055,3151.444580,3224.374268,3224.374268,19306924485
2021-08-31,3227.758057,3466.992188,3195.216553,3433.732666,3433.732666,27280502987
2021-09-01,3430.762451,3836.867432,3387.408447,3834.828125,3834.828125,30070890104
2021-09-02,3825.027832,3830.711426,3726.750488,3790.989990,3790.989990,24387397330
2021-09-03,3787.486572,4022.469238,3712.678223,3940.614746,3940.614746,26207765094
2021-09-04,3937.910156,3969.448730,3837.931152,3887.828369,3887.828369,20806963328
2021-09-05,3886.331055,3979.186523,3838.487305,3952.133545,3952.133545,18371468576
2021-09-06,3951.520752,3968.426514,3868.994385,3928.379395,3928.379395,18674691198
2021-09-07,3926.527588,3945.314209,3062.222412,3426.394287,3426.394287,39131346397
2021-09-08,3428.378174,3559.121338,3224.764893,3497.315186,3497.315186,31738430771
2021-09-09,3452.548340,3562.992676,3400.517090,3427.340088,3427.340088,24118055831
2021-09-10,3425.564941,3512.571289,3157.059082,3211.505859,3211.505859,22355974097
2021-09-11,3209.030518,3346.526367,3208.961914,3270.278076,3270.278076,18627122934
2021-09-12,3270.291748,3462.468262,3235.109375,3410.134521,3410.134521,16810411424
2021-09-13,3407.471924,3426.502197,3121.514160,3285.511719,3285.511719,22721552948
2021-09-14,3286.316406,3429.169678,3273.630859,3429.169678,3429.169678,19125420848
2021-09-15,3431.217285,3615.282715,3365.913086,3615.282715,3615.282715,17548551804
2021-09-16,3613.073730,3673.310791,3489.805664,3571.294922,3571.294922,20093903064
2021-09-17,3569.568115,3589.305176,3356.449951,3398.538818,3398.538818,17722363229
2021-09-18,3397.422852,3540.807617,3371.892334,3432.018311,3432.018311,15995220233
2021-09-19,3433.287842,3448.322021,3286.172363,3329.447998,3329.447998,14257609743
2021-09-20,3329.670654,3343.325439,2940.839111,2958.993408,2958.993408,27371684581
2021-09-21,2977.310547,3101.697510,2676.407471,2764.431152,2764.431152,30405062665
2021-09-22,2763.209229,3089.083008,2741.440674,3077.867920,3077.867920,23742102645
2021-09-23,3077.974365,3173.544678,3038.097900,3155.523682,3155.523682,18516291047
2021-09-24,3154.562012,3159.644043,2747.337646,2931.669189,2931.669189,25595422789
2021-09-25,2930.884766,2968.994629,2818.970459,2925.565674,2925.565674,18932786754
2021-09-26,2926.343018,3114.857422,2744.583008,3062.265381,3062.265381,21172766310
2021-09-27,3065.837891,3163.665039,2932.692871,2934.138916,2934.138916,19164053681
2021-09-28,2928.963379,2970.770508,2793.360596,2807.296631,2807.296631,16895079070
2021-09-29,2809.297607,2946.881348,2786.988281,2853.143311,2853.143311,15763456158
2021-09-30,2852.558838,3046.519531,2840.289551,3001.678955,3001.678955,17661065099
2021-10-01,3001.129395,3329.853516,2978.654297,3307.516113,3307.516113,22307625573
2021-10-02,3308.870361,3464.837402,3260.027588,3391.694336,3391.694336,19202671704
2021-10-03,3390.767578,3484.605713,3348.120117,3418.358643,3418.358643,15516566862
