Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,73.300003,75.000000,71.779999,74.510002,74.510002,8825300
2021-08-31,74.860001,77.879997,74.099998,76.110001,76.110001,18475200
2021-09-01,75.980003,77.250000,73.690002,74.169998,74.169998,15642300
2021-09-02,74.599998,76.199997,73.599998,73.919998,73.919998,12178500
2021-09-03,73.919998,75.470001,72.930000,75.080002,75.080002,9237100
2021-09-07,75.830002,76.839996,74.052002,76.489998,76.489998,11735200
2021-09-08,76.220001,76.699997,73.230003,74.129997,74.129997,11538900
2021-09-09,74.110001,75.666000,73.540001,74.620003,74.620003,10564300
2021-09-10,75.250000,75.989998,74.275002,74.500000,74.500000,9219200
2021-09-13,75.610001,75.610001,69.820000,71.260002,71.260002,19913400
2021-09-14,71.690002,72.790001,70.809998,71.309998,71.309998,11083000
2021-09-15,71.330002,73.620003,70.370003,73.620003,73.620003,10890100
2021-09-16,73.290001,73.410004,71.519997,72.480003,72.480003,16878500
2021-09-17,72.419998,75.629997,72.400002,74.760002,74.760002,20858800
2021-09-20,72.375000,73.139999,70.109001,71.730003,71.730003,13834900
2021-09-21,72.760002,76.370003,72.599998,76.089996,76.089996,18129600
2021-09-22,74.370003,79.639999,74.019997,78.599998,78.599998,26999200
2021-09-23,78.970001,80.099998,77.459999,79.370003,79.370003,20944600
2021-09-24,78.940002,83.339996,78.110001,83.110001,83.110001,29039000
2021-09-27,82.000000,82.610001,79.320000,80.080002,80.080002,18493300
2021-09-28,78.540001,79.410004,73.889999,74.419998,74.419998,23531900
2021-09-29,75.300003,76.089996,71.559998,71.760002,71.760002,18633700
2021-09-30,72.919998,75.247002,72.239998,73.870003,73.870003,17166400
2021-10-01,74.820000,75.889999,73.440002,75.250000,75.250000,11689700
2021-10-04,74.029999,74.199997,69.970001,71.230003,71.230003,18142600
2021-10-05,72.180000,73.910004,71.790001,73.410004,73.410004,11896500
2021-10-06,72.370003,74.500000,71.320000,73.129997,73.129997,10927300
2021-10-07,74.360001,77.410004,74.099998,76.279999,76.279999,15547400
2021-10-08,76.910004,77.410004,74.739998,75.000000,75.000000,8909200
2021-10-11,74.650002,75.599998,73.500000,73.529999,73.529999,8990800
2021-10-12,74.120003,75.980003,73.529999,75.260002,75.260002,13691100
2021-10-13,76.150002,76.308998,74.300003,74.949997,74.949997,9998900
2021-10-14,77.059998,77.230003,75.724998,76.639999,76.639999,12948800
2021-10-15,76.809998,78.735001,75.870003,77.339996,77.339996,20414400
2021-10-18,78.599998,79.300003,72.610001,75.800003,75.800003,33053900
2021-10-19,75.120003,78.180000,73.900002,76.430000,76.430000,18720700
2021-10-20,76.570000,77.519997,74.669998,75.650002,75.650002,15739300
2021-10-21,74.809998,75.949997,73.889999,75.110001,75.110001,44450900
2021-10-22,58.750000,60.779999,55.029999,55.139999,55.139999,153827500
2021-10-25,55.959999,56.150002,53.770000,54.500000,54.500000,62506800
2021-10-26,55.240002,57.180000,54.880001,55.389999,55.389999,52905700
2021-10-27,55.049999,55.230000,51.660000,52.020000,52.020000,52581300
2021-10-28,52.680000,54.959999,51.990002,54.389999,54.389999,34748800
2021-10-29,53.970001,53.990002,52.209999,52.580002,52.580002,32465500
2021-11-01,52.990002,54.110001,52.250000,53.980000,53.980000,22666700
2021-11-02,53.570000,53.660000,51.865002,52.200001,52.200001,24120400
2021-11-03,51.950001,52.970001,51.470001,52.939999,52.939999,16319300
2021-11-04,53.080002,53.380001,51.759998,52.259998,52.259998,16371700
2021-11-05,52.150002,53.570000,52.070000,53.169998,53.169998,17458700
2021-11-08,53.360001,55.130001,52.849998,54.900002,54.900002,20154600
2021-11-09,55.294998,55.650002,54.200001,54.820000,54.820000,12489000
2021-11-10,53.910000,54.169998,52.020000,52.880001,52.880001,14812400
2021-11-11,53.459999,54.590000,53.200001,53.290001,53.290001,13322000
2021-11-12,53.820000,54.070000,52.820000,53.700001,53.700001,12972500
2021-11-15,54.139999,57.139999,54.119999,55.529999,55.529999,22192000
2021-11-16,55.779999,55.810001,53.665001,55.110001,55.110001,20754600
2021-11-17,54.450001,55.667999,53.860001,54.560001,54.560001,15005300
2021-11-18,54.509998,54.770000,52.549999,53.470001,53.470001,13069900
2021-11-19,53.930000,53.930000,50.759998,51.320000,51.320000,18095000
2021-11-22,51.520000,51.520000,47.459999,49.259998,49.259998,34273700
2021-11-23,48.570000,51.029999,47.860001,50.669998,50.669998,21262500
2021-11-24,49.000000,50.270000,48.799999,49.660000,49.660000,14813900
2021-11-26,48.770000,50.250000,48.570000,49.759998,49.759998,10487300
2021-11-29,51.099998,51.119999,48.480000,48.849998,48.849998,16171000
2021-11-30,48.779999,49.400002,46.299999,47.610001,47.610001,25773000
2021-12-01,49.130001,50.980000,46.799999,47.259998,47.259998,28507500
2021-12-02,47.240002,48.290001,46.509998,47.910000,47.910000,14418100
2021-12-03,47.770000,48.669998,45.459999,46.790001,46.790001,19611000
2021-12-06,46.209999,48.325001,44.919998,47.919998,47.919998,15738500
2021-12-07,49.375000,51.680000,49.290001,50.400002,50.400002,20782600
2021-12-08,50.619999,54.834999,50.200001,53.419998,53.419998,26768000
2021-12-09,52.790001,54.889999,52.110001,52.360001,52.360001,19408100
2021-12-10,52.630001,53.310001,50.055000,50.820000,50.820000,13416900
2021-12-13,50.320000,50.439999,46.459999,48.139999,48.139999,21235100
2021-12-14,47.599998,48.314999,46.380001,46.849998,46.849998,16496600
2021-12-15,46.349998,46.669998,44.077000,46.410000,46.410000,23804800
2021-12-16,47.410000,48.020000,44.070000,44.700001,44.700001,21512200
2021-12-17,43.639999,45.889999,42.959999,45.290001,45.290001,23105400
2021-12-20,44.220001,45.150002,43.380001,44.419998,44.419998,12921600
2021-12-21,44.889999,46.200001,43.900002,46.099998,46.099998,15203200
2021-12-22,45.985001,47.209999,45.459999,46.770000,46.770000,12055000
2021-12-23,47.349998,49.070000,45.959999,48.680000,48.680000,18546400
2021-12-27,48.450001,49.250000,48.020000,48.639999,48.639999,8163900
2021-12-28,48.500000,49.230000,47.430000,47.709999,47.709999,8984500
2021-12-29,47.595001,47.919998,46.560001,47.060001,47.060001,7693700
2021-12-30,46.810001,48.740002,46.810001,48.029999,48.029999,10170200
2021-12-31,47.799999,48.450001,47.009998,47.029999,47.029999,8310700
2022-01-03,47.630001,47.709999,45.990002,46.590000,46.590000,7931400
2022-01-04,46.849998,46.990002,42.459999,44.029999,44.029999,26659100
2022-01-05,43.500000,44.490002,41.009998,41.330002,41.330002,22163300
2022-01-06,41.250000,42.430000,39.820000,41.680000,41.680000,17882300
2022-01-07,41.540001,43.279999,41.049999,41.360001,41.360001,15715900
2022-01-10,40.740002,41.775002,38.509998,41.709999,41.709999,20895900
2022-01-11,42.060001,43.720001,41.779999,43.310001,43.310001,17386600
2022-01-12,43.810001,44.340000,42.060001,42.730000,42.730000,12637500
2022-01-13,40.639999,41.459999,38.259998,38.380001,38.380001,32180500
2022-01-14,37.720001,38.330002,36.560001,38.040001,38.040001,25556100
2022-01-18,36.980000,36.985001,35.619999,35.700001,35.700001,37008100
2022-01-19,36.029999,36.480000,34.759998,35.049999,35.049999,23942000
2022-01-20,35.799999,37.105000,34.915001,34.990002,34.990002,21672700
2022-01-21,34.000000,34.619999,32.000000,32.119999,32.119999,37648400
2022-01-24,30.160000,31.809999,28.020000,31.799999,31.799999,46502200
2022-01-25,31.010000,32.090000,30.084999,30.660000,30.660000,26893800
2022-01-26,31.379999,31.910000,28.160000,28.629999,28.629999,35467300
2022-01-27,29.629999,30.670000,28.170000,28.299999,28.299999,35331900
2022-01-28,28.629999,30.480000,28.129999,30.420000,30.420000,28380500
2022-01-31,30.650000,32.630001,30.650000,32.540001,32.540001,25872900
2022-02-01,34.130001,34.200001,32.209999,33.660000,33.660000,28108900
2022-02-02,34.150002,34.244999,31.730000,32.070000,32.070000,41654600
2022-02-03,25.740000,26.490000,24.320000,24.500000,24.500000,149336000
2022-02-04,35.270000,40.650002,34.099998,38.910000,38.910000,308602500
2022-02-07,38.509998,39.590000,37.520000,37.880001,37.880001,96743300
2022-02-08,35.509998,37.759998,34.869999,37.560001,37.560001,85621100
2022-02-09,37.740002,40.330002,37.110001,40.279999,40.279999,67166800
2022-02-10,38.509998,41.970001,38.505001,40.619999,40.619999,65264300
2022-02-11,40.380001,41.970001,39.070000,39.490002,39.490002,42826900
2022-02-14,39.959999,41.889999,39.500000,39.619999,39.619999,37579800
